Ticker,1977-1983 hrp,1977-1983 max_sharpe,1977-1983 min_volatility,1977-1983 target_return,2000-2004 hrp,2000-2004 max_sharpe,2000-2004 min_volatility,2000-2004 target_return,2007-2011 hrp,2007-2011 max_sharpe,2007-2011 min_volatility,2007-2011 target_return,2021-2023 hrp,2021-2023 max_sharpe,2021-2023 min_volatility,2021-2023 target_return
OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006108870246220635,4.6715e-12,3.34041e-11,8.552e-12,0.00037364868520056396,3.6441e-12,3.71386e-11,4.72226e-11
MSM,0.0,0.0,0.0,0.0,0.002030728155327827,6.90876e-11,1.75494e-10,4.63464e-11,0.0011737473864521027,9.9246e-12,3.184747e-10,6.83268e-11,0.0010683408015433543,6.1848e-12,4.825347e-10,4.452207e-10
CSL,0.0,0.0,0.0,0.0,0.0007528734500938678,8.06529e-11,8.61788e-11,2.31468e-11,0.0011902395025741278,7.6638e-12,1.29774e-10,3.35115e-11,0.0008335633528570637,6.9808e-12,5.84932e-11,1.071354e-10
SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023791555295776194,5.6707e-12,2.94381e-11,4.48481e-11
AWI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008301757472657738,4.4715e-12,4.00396e-11,1.013e-11,0.0006005416762114398,3.0546e-12,6.20139e-11,6.50728e-11
BLDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019285574599744873,2.46316e-11,3.1209e-11,6.82243e-11
GPS,0.0,0.0,0.0,0.0,0.0003694648332512982,4.17547e-11,1.090061e-10,2.88315e-11,0.0007419301539046792,1.18317e-11,1.741877e-10,3.35365e-11,0.00020191309360331536,1.2575e-12,2.48872e-11,2.40191e-11
MBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATO,0.0,0.0,0.0,0.0,0.0009474553200355563,1.023534e-10,1.225117e-10,3.27435e-11,0.000742280572117618,9.9342e-12,3.079197e-10,5.99333e-11,0.0009047674620880725,2.1386e-12,5.96351e-10,1.142688e-10
GMED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007608110280314388,2.0221e-12,4.86973e-11,4.52298e-11
TLYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025996561838423783,2.0656e-12,1.099095e-10,8.86103e-11
EXPD,0.0,0.0,0.0,0.0,0.0006580642119564021,1.1841e-10,3.038917e-10,7.77171e-11,0.0007575618211902671,6.3137e-12,4.99168e-11,1.24526e-11,0.0007693589342738508,4.15e-12,6.79846e-11,7.57368e-11
LH,0.0,0.0,0.0,0.0,0.0015959185630008517,2.804817e-10,0.0012711589257606,0.0012710750819502,0.006622711484217096,1.81586e-11,0.0262914360514945,0.0301149418229695,0.0010450914518336373,7.8991e-12,3.9215e-10,5.56913e-10
HBB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018098224257031043,2.1528e-12,1.659533e-10,9.76609e-11
GXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SR,0.0,0.0,0.0,0.0,0.0017636482360948618,2.110188e-10,0.0047425285455282,0.0047425982937056,0.0013145682603539633,1.47432e-11,0.0044428331299185,0.0055110055552797,0.0013076837533375959,7.1105e-12,0.0034994413661488,3.031786e-09
EXPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010711657870858683,2.4347e-12,2.103005e-10,2.548668e-10
LZB,0.06919140995298517,0.1252657475746841,0.058270150292078,0.0582700415609631,0.0004845891391357882,8.16476e-11,1.496812e-10,3.94356e-11,0.0,0.0,0.0,0.0,0.00046179747989633134,2.1303e-12,7.22164e-11,6.15865e-11
